"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","0","","test_AI","Test_login","","","test_loginf",""
"skipped","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","0","","test_firmware","TestShoppingTrolley","","","test_delete_shopping_trolley",""
"passed","Fri Aug 13 18:43:52 CST 2021","Fri Aug 13 18:43:52 CST 2021","4","","test_AI","Test_login","","","test_logina",""
"passed","Fri Aug 13 18:43:52 CST 2021","Fri Aug 13 18:43:52 CST 2021","2","","test_AI","Test_login","","","test_loginb",""
"passed","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","1","","test_AI","Test_login","","","test_loging",""
"passed","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","0","","test_firmware","TestShoppingTrolley","","","test_edit_shopping_trolley",""
"passed","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","0","","test_AI","Test_login","","","test_logine",""
"broken","Fri Aug 13 18:43:52 CST 2021","Fri Aug 13 18:43:52 CST 2021","0","","test_AI","Test_login","","","test_loginc",""
"failed","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","1","","test_AI","Test_login","","","test_logind",""
"failed","Fri Aug 13 18:43:53 CST 2021","Fri Aug 13 18:43:53 CST 2021","9","","test_firmware","TestShoppingTrolley","","","test_add_shopping_trolley",""
